Time XAccel YAccel ZAccel
0.007 2.840 1.960 1.640
0.666 2.760 1.800 1.800
1.038 2.760 1.800 1.880
1.414 2.600 1.720 2.040
1.801 2.680 1.720 2.120
2.197 2.680 1.720 2.200
2.505 2.440 1.640 2.120
2.791 2.680 1.720 1.960
3.072 2.760 1.800 1.560
3.353 2.840 1.880 1.720
3.634 2.520 1.880 1.480
3.914 3.000 1.800 1.480
4.195 3.960 1.800 1.800
4.475 2.760 1.800 1.800
4.756 2.840 1.880 1.800
5.044 2.760 1.800 1.800
5.325 2.760 1.800 1.800
5.606 2.760 1.800 1.800
5.887 2.760 1.800 1.800
6.167 2.760 1.800 1.800
6.448 2.760 1.800 1.800
6.728 2.760 1.800 1.800
7.009 2.760 1.800 1.800
7.290 2.760 1.800 1.800
7.571 2.760 1.800 1.800
7.852 2.760 1.800 1.800
8.132 2.760 1.800 1.800
8.413 2.760 1.880 1.720
8.693 2.600 1.800 1.480
8.982 2.920 1.800 1.720
9.263 2.680 1.960 1.880
9.543 2.440 1.640 1.800
9.824 2.920 1.480 1.720
10.104 2.840 1.720 1.800
10.385 2.760 1.640 1.720
10.666 2.760 1.640 1.560
10.947 2.680 1.720 1.720
11.228 2.840 1.720 1.720
11.508 2.680 1.640 1.560
11.789 2.680 1.560 1.560
12.070 3.000 1.720 1.480
12.351 2.600 1.720 1.640
12.632 2.760 1.720 1.560
12.919 2.840 2.040 2.040
13.201 2.840 1.560 1.880
13.504 2.760 1.560 2.040
13.786 2.600 1.800 2.040
14.066 2.760 1.560 2.040
14.348 2.760 1.560 1.960
14.629 2.840 1.640 1.880
14.910 2.760 1.720 1.800
15.192 2.840 1.640 1.720
15.473 2.680 1.800 1.720
15.755 2.840 1.640 1.640
16.035 2.840 1.640 1.560
16.317 2.680 1.560 1.560
16.599 2.760 1.560 1.400
16.886 2.760 1.640 1.400
17.168 2.760 1.560 1.400
17.450 2.600 1.560 1.480
17.730 2.680 1.560 1.480
18.012 2.760 1.480 1.560
18.292 2.840 1.480 1.560
18.595 2.760 1.560 1.720
18.876 2.600 1.720 1.880
19.158 2.680 1.640 1.800
19.439 2.600 1.720 1.960
19.721 2.680 1.880 2.040
20.001 2.760 1.720 1.720
20.283 2.680 1.960 1.800
20.565 1.960 2.040 1.880
20.853 2.760 1.960 1.800
21.135 2.840 1.800 1.800
21.417 3.000 1.800 1.880
21.698 2.840 1.800 1.800
21.979 2.840 2.040 1.960
22.260 2.680 1.720 1.880
22.542 2.760 1.880 1.880
22.823 2.760 1.880 1.880
23.104 2.760 1.960 1.800
23.386 2.840 1.960 1.800
23.667 2.520 1.800 1.960
23.949 2.760 1.880 1.720
24.229 2.760 1.880 1.800
24.511 2.760 1.800 1.800
24.800 2.760 1.880 1.880
25.081 2.760 1.880 1.800
25.363 2.760 1.720 1.800
25.645 2.760 1.800 1.880
25.925 2.680 1.720 1.960
26.230 2.760 1.880 1.800
26.512 2.760 1.720 1.880
26.794 2.840 1.880 1.720
27.075 2.680 1.880 1.800
27.357 2.760 1.880 1.800
27.638 2.760 1.800 1.800
27.920 2.840 1.800 1.720
28.201 2.760 1.720 1.720
28.489 2.760 1.800 1.880
28.771 2.760 1.960 1.880
29.052 2.760 1.880 1.880
29.334 2.680 1.800 1.880
29.616 2.760 1.880 1.800
29.897 2.840 1.880 1.800
30.179 2.680 2.120 1.720
30.460 2.760 1.880 1.720
30.742 2.840 1.880 1.720
31.024 2.760 1.880 1.800
31.305 2.760 1.880 1.800
31.587 2.680 1.720 1.720
31.884 2.760 1.880 1.720
32.166 2.760 1.800 1.800
32.456 2.760 1.800 1.720
32.738 2.760 1.880 1.800
33.020 2.760 1.800 1.800
33.311 2.760 1.880 1.880
33.592 2.840 1.800 1.720
33.873 2.760 1.880 1.880
34.154 2.840 1.960 1.880
34.436 2.840 1.800 1.800
34.716 2.760 1.800 1.800
